,ad_id,location,price,title,room_count,project
0,1246062977,Cumhuriyet Mah.,"15,600,000 TL",SİNPAŞ QUEEN BÜYÜK TİP 1+1 KÖŞE VE HAVUZ CEPHE,1+1,SİNPAŞ
1,1242575426,Cumhuriyet Mah.,"16,720,000 TL","SİNPAŞ Qeenn Satılık Eşyalı Citizenship 1+1 By Rotana,Anthill",1+1,SİNPAŞ
2,1247505468,Cumhuriyet Mah.,"22,500,000 TL","SİNPAŞ QUEEN BOMONTİ'DE 2,5+1 EBEVEYN BANYOLU GİYİNME ODALI",2+1,SİNPAŞ
3,1146147707,Cumhuriyet Mah.,"24,000,000 TL",SİNPAŞ QUEEN BOMONTİ SATILIK YÜKSEK KAT 2+1 DAİRE (citizenship),2+1,SİNPAŞ
4,1241374490,Cumhuriyet Mah.,"7,800,000 TL",Bomonti Elysium Fantastic Rezidans BOŞ 1+1/ For Citizenship,1+1,Elysium Fantastic
5,1247457132,Cumhuriyet Mah.,"17,500,000 TL","Kelepir Şişli Sinpaş Queen Büyük Tip2+1 , 2E-Banyolu, Balkonlu",2+1,SİNPAŞ
6,1171808135,Cumhuriyet Mah.,"9,500,000 TL",ANTHILL RESIDENCE BOMONTİ FIRSAT 1+1 BALKON SATILIK DAİRE,1+1,Anthill
7,1152981295,Cumhuriyet Mah.,"11,500,000 TL",Şişli Bomonti'de Satılık Daire,3+1,
8,1232537369,Cumhuriyet Mah.,"12,950,000 TL",OFTON ELYSiUM FANTASTIC 'DE MİMARİ TASARIM DUBLEX DAİRE,1+1,Elysium Fantastic
9,1219499572,Cumhuriyet Mah.,"8,500,000 TL",Sinpaş Queen Bomonti'de Satılık Stüdyo Daire,Studio Flat (1+0),SİNPAŞ
10,1232759186,Cumhuriyet Mah.,"15,500,000 TL",ELYSIUM FANTASTIC RESIDENCE TERASLI,2+1,Elysium Fantastic
11,1235163668,Cumhuriyet Mah.,"8,700,000 TL",Bomonti Elysium Residence 1+1 Satılık Daire,1+1,Elysium Fantastic
12,1235556553,Cumhuriyet Mah.,"12,000,000 TL",ANTHİLL RESİDENCE BOMONTİ 1+1 YÜKSEK KAT BOŞ SATILIK DAİRE-ŞİŞLİ,1+1,Anthill
13,1169060066,Cumhuriyet Mah.,"6,600,000 TL",OSMANBEY METROSUNA ÇOK YAKIN RUMELİ CADDESİ ÜZERİ 1. KAT SATILIK,2+1,Normal Daire
14,1247264744,Cumhuriyet Mah.,"6,500,000 TL",Şişli Bomonti Anthill Karşısı Cadde Üzeri Yeni Binada 1.Kat 2+1,2+1,Anthill
15,1241240487,Cumhuriyet Mah.,"15,250,000 TL",SİNPAŞ QUEEN'DE YÜKSEK KAT SATILIK 1+1 FIRSAT DAİRE!! - BOMONTİ,1+1,SİNPAŞ
16,1247297735,Cumhuriyet Mah.,"24,000,000 TL",SİNPAŞ QUEEN BOMONTİ YÜKSEK KAT 120 M 2+1 DAİRE,2+1,SİNPAŞ
17,1234561218,Cumhuriyet Mah.,"15,350,000 TL",SİNPAŞ QUEEN EN BÜYÜK 1+1 KÖŞE KAPALI MUTFAK SIFIR !!,1+1,SİNPAŞ
18,1247251347,Cumhuriyet Mah.,"6,750,000 TL",ŞİŞLİ DE METROYA YÜRÜME MESAFESİNDE İYİ KONUMDA KİRACISIZ 3+1,3+1,
19,1205163835,Cumhuriyet Mah.,"17,000,000 TL",SİNPAŞ QUEEN BOMONTİ'DE BOĞAZ MANZARALI LOFT SATILIK DAİRE,1+1,SİNPAŞ
20,1226341604,Cumhuriyet Mah.,"15,000,000 TL",BOMONTİ ANTHİLL RESİDENCE 2+1 FIRSAT SATILIK DAİRE,2+1,Anthill
21,1244105740,Cumhuriyet Mah.,"14,500,000 TL",SİNPAŞ QUEEN BOMONTİ 2+1,2+1,SİNPAŞ
22,1247128554,Cumhuriyet Mah.,"14,000,000 TL",EN UYGUN BÜYÜK TİP 1+1 / SIFIR DAİRE (tek yetkili),1+1,
23,1211426838,Cumhuriyet Mah.,"16,000,000 TL",ŞİŞLİ BOMONTİ ANTHİLL 2+1 BOŞ VATANDAŞLIĞA UYGUN YÜKSEK KAT,2+1,Anthill
24,1000690912,Cumhuriyet Mah.,"2,950,000 TL",ŞİŞLİ CUMHURİYET MAHALLESİNDE 2+1 BAHÇELİ 95 m2 KAT MÜLKİYETLİ,2+1,Normal Daire
